Query,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,0,0,0
Query 2,2,20,0
Query 3,2,20,-12
Query 4,3,30,-1.5
Query 5,1,10,0
Query 6,2,20,-84
Query 7,2,20,-19
Query 8,1,10,0
Query 9,4,40,-4.5
Query 10,0,0,0
Query 11,2,20,-16
Query 12,0,0,0
Query 13,1,10,0
Query 14,0,0,0
Query 15,2,20,-63
Query 16,2,20,-24
Query 17,2,20,-4
Query 18,1,10,0
Query 19,1,10,0
Query 20,0,0,0
Query 21,1,10,0
Query 22,2,20,-88
Query 23,0,0,0
Query 24,1,10,0
Query 25,0,0,0
Query 26,0,0,0
Query 27,1,10,0
Query 28,3,30,-4.25
Query 29,1,10,0
Query 30,0,0,0
Query 31,3,30,-13
Query 32,0,0,0
Query 33,2,20,-19
Query 34,3,30,-1.25
Query 35,0,0,0
Query 36,2,20,-48
Query 37,1,10,0
Query 38,1,10,0
Query 39,1,10,0
Query 40,0,0,0
Query 41,3,30,-10.25
Query 42,2,20,-64
Query 43,1,10,0
Query 44,1,10,0
Query 45,3,30,-7.5
Query 46,2,20,-3
Query 47,0,0,0
Query 48,2,20,-3
Query 49,0,0,0
Query 50,1,10,0
Query 51,0,0,0
Query 52,0,0,0
Query 53,0,0,0
Query 54,2,20,-16
Query 55,1,10,0
Query 56,2,20,-4
Query 57,1,10,0
Query 58,2,20,-7
Query 59,3,30,-2.25
Query 60,0,0,0
Query 61,0,0,0
Query 62,1,10,0
Query 63,2,20,-19
Query 64,3,30,-8
Query 65,1,10,0
Query 66,0,0,0
Query 67,2,20,-25
Query 68,2,20,-12
Query 69,0,0,0
Query 70,0,0,0
Query 71,3,30,-5.75
Query 72,0,0,0
Query 73,0,0,0
Query 74,2,20,-24
Query 75,2,20,-33
Query 76,3,30,-1.5
Query 77,3,30,-1.75
Query 78,1,10,0
Query 79,0,0,0
Query 80,3,30,-13.25
Query 81,1,10,0
Query 82,0,0,0
Query 83,1,10,0
Query 84,0,0,0
Query 85,0,0,0
Query 86,1,10,0
Query 87,0,0,0
Query 88,1,10,0
Query 89,2,20,-8
Query 90,4,40,-2
Query 91,2,20,1
Query 92,1,10,0
Query 93,1,10,0
Query 94,4,40,-2.4
Query 95,3,30,-0.5
Query 96,0,0,0
Query 97,2,20,-19
Query 98,1,10,0
Query 99,0,0,0
Query 100,0,0,0
Averages,1.28,12.8,-6.9265
