Query,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,0.0,0.0,0.0
Query 2,2.0,20.0,0.0
Query 3,2.0,20.0,-12.0
Query 4,3.0,30.0,-1.5
Query 5,1.0,10.0,0.0
Query 6,2.0,20.0,-84.0
Query 7,2.0,20.0,-19.0
Query 8,1.0,10.0,0.0
Query 9,4.0,40.0,-4.5
Query 10,0.0,0.0,0.0
Query 11,2.0,20.0,-16.0
Query 12,0.0,0.0,0.0
Query 13,1.0,10.0,0.0
Query 14,0.0,0.0,0.0
Query 15,2.0,20.0,-63.0
Query 16,2.0,20.0,-24.0
Query 17,2.0,20.0,-4.0
Query 18,1.0,10.0,0.0
Query 19,1.0,10.0,0.0
Query 20,0.0,0.0,0.0
Query 21,1.0,10.0,0.0
Query 22,2.0,20.0,-88.0
Query 23,0.0,0.0,0.0
Query 24,1.0,10.0,0.0
Query 25,0.0,0.0,0.0
Query 26,0.0,0.0,0.0
Query 27,1.0,10.0,0.0
Query 28,3.0,30.0,-4.25
Query 29,1.0,10.0,0.0
Query 30,0.0,0.0,0.0
Query 31,3.0,30.0,-13.0
Query 32,0.0,0.0,0.0
Query 33,2.0,20.0,-19.0
Query 34,3.0,30.0,-1.25
Query 35,0.0,0.0,0.0
Query 36,2.0,20.0,-48.0
Query 37,1.0,10.0,0.0
Query 38,1.0,10.0,0.0
Query 39,1.0,10.0,0.0
Query 40,0.0,0.0,0.0
Query 41,3.0,30.0,-10.25
Query 42,2.0,20.0,-64.0
Query 43,1.0,10.0,0.0
Query 44,1.0,10.0,0.0
Query 45,3.0,30.0,-7.5
Query 46,2.0,20.0,-3.0
Query 47,0.0,0.0,0.0
Query 48,2.0,20.0,-3.0
Query 49,0.0,0.0,0.0
Query 50,1.0,10.0,0.0
Query 51,0.0,0.0,0.0
Query 52,0.0,0.0,0.0
Query 53,0.0,0.0,0.0
Query 54,2.0,20.0,-16.0
Query 55,1.0,10.0,0.0
Query 56,2.0,20.0,-4.0
Query 57,1.0,10.0,0.0
Query 58,2.0,20.0,-7.0
Query 59,3.0,30.0,-2.25
Query 60,0.0,0.0,0.0
Query 61,0.0,0.0,0.0
Query 62,1.0,10.0,0.0
Query 63,2.0,20.0,-19.0
Query 64,3.0,30.0,-8.0
Query 65,1.0,10.0,0.0
Query 66,0.0,0.0,0.0
Query 67,2.0,20.0,-25.0
Query 68,2.0,20.0,-12.0
Query 69,0.0,0.0,0.0
Query 70,0.0,0.0,0.0
Query 71,3.0,30.0,-5.75
Query 72,0.0,0.0,0.0
Query 73,0.0,0.0,0.0
Query 74,2.0,20.0,-24.0
Query 75,2.0,20.0,-33.0
Query 76,3.0,30.0,-1.5
Query 77,3.0,30.0,-1.75
Query 78,1.0,10.0,0.0
Query 79,0.0,0.0,0.0
Query 80,3.0,30.0,-13.25
Query 81,1.0,10.0,0.0
Query 82,0.0,0.0,0.0
Query 83,1.0,10.0,0.0
Query 84,0.0,0.0,0.0
Query 85,0.0,0.0,0.0
Query 86,1.0,10.0,0.0
Query 87,0.0,0.0,0.0
Query 88,1.0,10.0,0.0
Query 89,2.0,20.0,-8.0
Query 90,4.0,40.0,-2.0
Query 91,2.0,20.0,1.0
Query 92,1.0,10.0,0.0
Query 93,1.0,10.0,0.0
Query 94,4.0,40.0,-2.4
Query 95,3.0,30.0,-0.5
Query 96,0.0,0.0,0.0
Query 97,2.0,20.0,-19.0
Query 98,1.0,10.0,0.0
Query 99,0.0,0.0,0.0
Query 100,0.0,0.0,0.0
Averages,1.28,12.8,-6.9265
